player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
John Simon,,LB,,,,,,,,,,
Al-Rasheed Benton,,ILB,,,,,,,,,,
Terrell Suggs,,LB,,,,,,,,,,
Rodney Butler,,LB,,,,,,,,,,
Kyle Queiro,,ILB,,,,,,,,,,
Craig Robertson,,LB,,,,,,,,,,
Kelechi Anyalebechi,,LB,,,,,,,,,,
Eric Nzeocha,,OLB,,,,,,,,,,
Chris Russell,,LB,,,,,,,,,,
Jaylon Smith,,LB,,,,,,,,,,
Tim Williams,,LB,,,,,,,,,,
Zach McCloud,,LB,,,,,,,,,,
E.J. Speed,HOU,LB,,,,,,,,,,
Jonas Griffith,,LB,,,,,,,,,,
Bo Bower,,OLB,,,,,,,,,,
Evan Weaver,,LB,,,,,,,,,,
Wesley Steiner,,LB,,,,,,,,,,
Gary Wilkins,,OLB,,,,,,,,,,
Amari Burney,,LB,,,,,,,,,,
Luiji Vilain,,LB,,,,,,,,,,
Jamie Collins,,LB,,,,,,,,,,
Greg Reaves,,OLB,,,,,,,,,,
Darien Butler,,LB,,,,,,,,,,
Matthew Judon,,LB,,,,,,,,,,
Lorenzo Alexander,,LB,,,,,,,,,,
Krys Barnes,CLE,LB,,,,,,,,,,
Noor Davis,,OLB,,,,,,,,,,
Jimmie Gilbert,,OLB,,,,,,,,,,
Bam Martin-Scott,CAR,LB,,,,,,,,,,
Reggie Ragland,,LB,,,,,,,,,,
Solomon Ajayi,,LB,,,,,,,,,,
Oshane Ximines,,LB,,,,,,,,,,
Christian Kuntz,PIT,LS,,,,,,,,,,
Wyatt Ray,,DE,,,,,,,,,,
Neville Hewitt,,LB,,,,,,,,,,
Kyler Fackrell,,LB,,,,,,,,,,
Lucas Wacha,,OLB,,,,,,,,,,
Jason Pierre-Paul,,LB,,,,,,,,,,
Jordan Mack,,LB,,,,,,,,,,
Kentrell Brothers,,ILB,,,,,,,,,,
Joey Bosa,,LB,,,,,,,,,,
Lander Barton,LAC,LB,,,,,,,,,,
Deon Hollins,,OLB,,,,,,,,,,
Jordan Young,,LB,,,,,,,,,,
Yasir Holmes,TB,LB,,,,,,,,,,
Mykal Walker,,LB,,,,,,,,,,
Easton Gibbs,,LB,,,,,,,,,,
Lakiem Williams,,LB,,,,,,,,,,
Nick Kwiatkoski,,LB,,,,,,,,,,
Josh Corcoran,,OLB,,,,,,,,,,
Trent Murphy,,DE,,,,,,,,,,
Josh Harvey-Clemons,,LB,,,,,,,,,,
Pita Taumoepenu,,LB,,,,,,,,,,
Anthony Hines,,LB,,,,,,,,,,
Charles Snowden,,LB,,,,,,,,,,
Francis Bernard,,LB,,,,,,,,,,
Sage Harold,,OLB,,,,,,,,,,
Brock Mogensen,,LB,,,,,,,,,,
Dyshawn Davis,,OLB,,,,,,,,,,
Ezekiel Turner,,LB,,,,,,,,,,
Ian Swenson,,LB,,,,,,,,,,
Shayne Simon,,LB,,,,,,,,,,
Levelle Bailey,DEN,LB,,,,,,,,,,
Alani Pututau,,LB,,,,,,,,,,
Eugene Asante,ARI,LB,,,,,,,,,,
Todd Davis,,LB,,,,,,,,,,
Richie Brown,,OLB,,,,,,,,,,
Deshaun Davis,,OLB,,,,,,,,,,
Luquay Washington,,LB,,,,,,,,,,
Quart'e Sapp,,LB,,,,,,,,,,
TJ Quinn,,LB,,,,,,,,,,
Deontae Lawson,,LB,,,,,,,,,,
Jameer Thurman,,ILB,,,,,,,,,,
LaRoy Reynolds,NE,LB,,,,,,,,,,
Cam Gill,,LB,,,,,,,,,,
Leo Lowin,,LB,,,,,,,,,,
Mike McCray,,OLB,,,,,,,,,,
Shaq Petteway,,ILB,,,,,,,,,,
Otaro Alaka,,LB,,,,,,,,,,
Jeremiah Moon,CAR,LB,,,,,,,,,,
D.J. Alexander,,LB,,,,,,,,,,
Jon Rhattigan,,LB,,,,,,,,,,
Jaylan Alexander,,LB,,,,,,,,,,
Morgan Fox,,DE,,,,,,,,,,
Maxwell Worship,,LB,,,,,,,,,,
Julius Wilkerson,,LB,,,,,,,,,,
Cooper McDonald,KC,LB,,,,,,,,,,
Bangally Kamara,MIN,LB,,,,,,,,,,
Micah Baskerville,,LB,,,,,,,,,,
Kyzir White,,LB,,,,,,,,,,
Jordan Crook,,LB,,,,,,,,,,
Hunter Dimick,,OLB,,,,,,,,,,
Patrick Mekari,JAX,OL,,,,,,,,,,
Logan Tago,,LB,,,,,,,,,,
David Talley,,OLB,,,,,,,,,,
Landon Honeycutt,,LB,,,,,,,,,,
Vontarrius Dora,,OLB,,,,,,,,,,
Edefuan Ulofoshio,,LB,,,,,,,,,,
Chance Campbell,PHI,LB,,,,,,,,,,
Bruce Irvin,,LB,,,,,,,,,,
Dante McClellan,,LB,,,,,,,,,,
Beniquez Brown,,OLB,,,,,,,,,,
Nate Wieland,,LB,,,,,,,,,,
Steve Longa,,OLB,,,,,,,,,,
Najee Goode,,LB,,,,,,,,,,
Azeez Ojulari,LV,LB,,,,,,,,,,
Boris Anyama,,ILB,,,,,,,,,,
Cameron Smith,,LB,,,,,,,,,,
Kyle Woestmann,,OLB,,,,,,,,,,
West Weeks,IND,LB,,,,,,,,,,
Chris Board,,LB,,,,,,,,,,
Avery Moss,,DE,,,,,,,,,,
DeAndre Square,,LB,,,,,,,,,,
Michael Barrett,,LB,,,,,,,,,,
T.D. Moultry,,LB,,,,,,,,,,
Ryan Kerrigan,,DE,,,,,,,,,,
Asantay Brown,,OLB,,,,,,,,,,
Xzavier Dickson,,ILB,,,,,,,,,,
Chase Hansen,,LB,,,,,,,,,,
Grant Morgan,,LB,,,,,,,,,,
Zach Brown,,LB,,,,,,,,,,
C.J. Johnson,,ILB,,,,,,,,,,
Brandon Bouyer-Randle,,LB,,,,,,,,,,
Trey Flowers,,LB,,,,,,,,,,
DeMarquis Gates,,ILB,,,,,,,,,,
Elerson G. Smith,,LB,,,,,,,,,,
Andre Mintze,,LB,,,,,,,,,,
Liam Anderson,MIA,LB,,,,,,,,,,
Koa Farmer,,OLB,,,,,,,,,,
Jimmy Herman,,OLB,,,,,,,,,,
Rashad Weaver,,LB,,,,,,,,,,
Diaheem Watkins,,ILB,,,,,,,,,,
Reggie Hunter,,LB,,,,,,,,,,
Aaron Smith,SEA,LB,,,,,,,,,,
Cam Bright,,LB,,,,,,,,,,
Ben Burr-Kirven,,LB,,,,,,,,,,
Hardy Nickerson,,LB,,,,,,,,,,
Logan Wilson,,LB,,,,,,,,,,
Eric Gentry,,LB,,,,,,,,,,
Aaron Brule,,LB,,,,,,,,,,
Dillon Lee,,OLB,,,,,,,,,,
Tyus Bowser,,LB,,,,,,,,,,
Cameron Wake,,DE,,,,,,,,,,
Amari Gainer,MIA,LB,,,,,,,,,,
Lorenzo Carter,,LB,,,,,,,,,,
Kahzin Daniels,,OLB,,,,,,,,,,
Seth Benson,,LB,,,,,,,,,,
Jack Cichy,,LB,,,,,,,,,,
Jordan Jenkins,,DE,,,,,,,,,,
John Daka,,DE,,,,,,,,,,
Aaron Casey,,LB,,,,,,,,,,
Christopher Allen,,LB,,,,,,,,,,
Isaiah Graham-Mobley,,LB,,,,,,,,,,
Tipa Galeai,,LB,,,,,,,,,,
R.J. Moten,,LB,,,,,,,,,,
Silas Kelly,,LB,,,,,,,,,,
Michael Ayers,,LB,,,,,,,,,,
Mikey Bart,,DE,,,,,,,,,,
Caleb Johnson,,LB,,,,,,,,,,
Jamin Davis,,LB,,,,,,,,,,
Leighton McCarthy,,LB,,,,,,,,,,
Vosean Joseph,,OLB,,,,,,,,,,
Kobe Jones,,LB,,,,,,,,,,
Henry To'oTo'o,HOU,LB,,,,,,,,,,
Trent Harris,,LB,,,,,,,,,,
Andrew Farmer,SF,LB,,,,,,,,,,
Emmanuel Beal,,ILB,,,,,,,,,,
Johnny Ragin,,ILB,,,,,,,,,,
Derick Roberson,,LB,,,,,,,,,,
Clay Johnston,,LB,,,,,,,,,,
Shaquem Griffin,,LB,,,,,,,,,,
Marvin Moody,,LB,,,,,,,,,,
Ledarius Mack,,LB,,,,,,,,,,
Shaq Thompson,BUF,LB,,,,,,,,,,
Anthony Sarao,,ILB,,,,,,,,,,
Kyle Wilber,,LB,,,,,,,,,,
Kyle Louis,MIA,LB,,,,,,,,,,
JD Bertrand,ATL,LB,,,,,,,,,,
Rashad Smith,,LB,,,,,,,,,,
D.J. Johnson,,LB,,,,,,,,,,
Nicholas Morrow,,LB,,,,,,,,,,
Kasim Edebali,,DE,,,,,,,,,,
Javin White,,LB,,,,,,,,,,
C.J. Mosley,,LB,,,,,,,,,,
Jack Sanborn,CHI,LB,PHI,0.78,0.57,,,,0.05,,,
Micah McFadden,NYG,LB,TEN,0.76,0.55,,,,0.05,,,
Zayne Anderson,MIA,DB,KC,0.86,0.81,,,0.05,,,,
Jackson Woodard,MIA,LB,KC,0.41,0.2,,,,,,,
Kain Medrano,WAS,LB,SEA,0.6,0.7,,,,0.05,,,
David Walker,TB,LB,MIN,0.49,0.27,,,,0.05,,,
Winston Reid,CLE,LB,CAR,0.64,1.01,,,,1.97,,,
James Williams,TEN,DB,NYG,1.04,0.83,,,,0.73,,,
Zaire Barnes,NYG,LB,TEN,0.76,0.55,,,,0.05,,,
Chazz Surratt,SEA,LB,WAS,0.4,0.4,,,,0.06,,,
Troy Reeder,NYJ,LB,DET,1.3,0.97,,,,0.05,,,
Miles Killebrew,TB,DB,MIN,0.43,0.22,,,0.05,,,,
Branson Combs,JAX,LB,NE,0.35,0.29,,,,,,,
Jeffrey Bassa,KC,LB,MIA,1.43,1.49,,,,0.06,,,
Owen Pappoe,TEN,LB,NYG,1.09,1.35,,,,0.42,,,
Jake Hansen,HOU,LB,IND,0.56,0.62,,,,0.06,,,
Del'Shawn Phillips,LAC,LB,BUF,1.05,0.72,,,,0.06,,,
Jimmy Rolder,DET,LB,NYJ,1.45,1.09,,,,0.06,,,
Bryce Boettcher,IND,LB,HOU,1.39,1.02,,,,1.66,,,
Easton Mascarenas-Arnold,CLE,LB,CAR,0.64,1.01,,,,0.05,,,
Jack Kiser,JAX,LB,NE,1.21,1.44,,,,0.87,,,
Swayze Bozeman,CIN,LB,PIT,0.56,1.02,,,,0.06,,,
Jamal Hill,HOU,LB,IND,0.56,0.62,,,,0.06,,,
Thomas Incoom,CAR,LB,CLE,0.39,0.61,,,,0.06,,,
Rodney Thomas,SEA,LB,WAS,0.23,0.23,,,0.06,,,,
Trevis Gipson,CAR,LB,CLE,0.39,0.61,,,,0.06,,,
Jordan Turner,DEN,LB,LAR,0.44,0.55,,,,0.05,,,
Myles Cole,NO,LB,LV,1.53,1.36,,,,0.06,,,
Jack Cochrane,KC,LB,MIA,1.43,1.49,,,,0.06,,,
James Houston,DAL,LB,BAL,0.7,0.75,,,,0.06,,,
Markquese Bell,DAL,DB,BAL,0.35,0.41,,,0.06,,,,
Baron Browning,ARI,LB,SF,1.12,1.39,,,,0.05,,,
Jeremiah Owusu-Koramoah,CLE,LB,CAR,0.64,1.01,,,,0.05,,,
Anthony Nelson,TB,LB,MIN,0.49,0.27,,,,0.05,,,
Dante Fowler,SEA,LB,WAS,0.4,0.4,,,,0.06,,,
Tahj Chambers,IND,LB,HOU,1.39,1.02,,,,0.05,,,
Jack Kelly,NYG,LB,TEN,0.76,0.55,,,,0.05,,,
Romello Height,SF,LB,ARI,0.49,0.68,,,,0.06,,,
Karene Reid,DEN,LB,LAR,0.44,0.55,,,,0.05,,,
Darius Muasau,NE,LB,JAX,0.77,0.55,,,,0.05,,,
Jaylon Carlies,IND,DB,HOU,1.39,1.02,,,,0.05,,,
Claudin Cherelus,CAR,LB,CLE,0.84,0.84,,,0.06,0.06,,,
Karson Sharar,ARI,LB,SF,1.12,1.39,,,,0.05,,,
Kiko Mauigoa,NYJ,LB,DET,0.92,1.08,,,,0.76,,,
Que Robinson,DEN,LB,LAR,0.44,0.55,,,,0.05,,,
Omar Speights,LAR,LB,DEN,2.34,1.99,,,0.06,0.06,,,
Yasir Abdullah,ATL,LB,GB,1.1,1.31,,,,0.05,,,
Nick Niemann,GB,LB,ATL,0.69,0.69,,,,0.06,,,
Ty'Ron Hopper,GB,LB,ATL,0.69,0.69,,,,0.06,,,
Brenton Cox,GB,LB,ATL,0.69,0.69,,,,0.06,,,
Kendal Daniels,ATL,LB,GB,0.68,0.52,,,,0.05,,,
Harold Perkins,ATL,LB,GB,0.68,0.52,,,,0.05,,,
Travis Hunter,JAX,DB,NE,,,,,,,,,
Rodney Shelley,LAC,CB,BUF,0.33,0.28,,0.33,0.06,,,,
Christian Benford,BUF,DB,LAC,2.11,0.81,0.06,0.12,0.5,0.19,0.06,0.12,
Marcus Jones,NE,DB,JAX,2.35,0.6,0.05,0.11,0.55,0.11,0.11,0.11,
Calen Bullock,HOU,DB,IND,2.53,1.16,,0.21,0.53,,0.05,0.05,
Alohi Gilman,KC,DB,MIA,3.05,2.36,,0.12,0.56,0.06,0.06,0.12,
Derwin James,LAC,DB,BUF,2.92,2.48,0.17,0.11,0.39,0.33,0.06,0.06,
Malaki Starks,BAL,DB,DAL,3.41,2.78,0.12,0.17,0.4,0.17,0.06,,
Caleb Downs,DAL,DB,BAL,3.33,1.47,0.14,0.11,0.38,0.22,0.05,0.05,
DJ Turner,CIN,DB,PIT,1.53,0.68,,0.17,0.85,0.11,0.06,0.06,
Dee Alford,BUF,DB,LAC,1.8,1.18,0.06,0.12,0.74,0.12,0.06,0.06,
Kyle Hamilton,BAL,DB,DAL,4.92,1.9,0.12,0.06,,0.49,0.12,0.06,
Antoine Winfield,TB,DB,MIN,2.7,1.67,0.11,0.11,0.38,0.22,0.05,0.05,
Nahshon Wright,NYJ,CB,DET,2.05,0.81,,0.11,0.43,0.05,0.05,0.11,
Marlon Humphrey,BAL,CB,DAL,2.33,0.8,0.06,0.12,0.74,0.12,0.06,0.06,
Jonas Sanker,NO,DB,LV,2.24,1.71,,0.11,0.48,0.16,0.05,0.11,
Cole Bishop,BUF,DB,LAC,3.44,2.16,0.06,0.17,0.52,0.23,0.06,,
Julian Love,SEA,DB,WAS,3.7,0.97,0.06,0.11,0.63,0.11,0.06,0.06,
Tykee Smith,TB,DB,MIN,3.13,1.84,0.08,0.11,0.65,0.22,0.05,0.05,
Kamari Lassiter,HOU,DB,IND,2.63,1.23,,0.22,0.84,0.28,,,
Kool-Aid McKinstry,NO,DB,LV,3.01,0.85,,0.23,0.96,0.11,,,
Jevon Holland,NYG,DB,TEN,2.18,1.31,0.05,0.16,0.22,0.05,0.05,,
Brandon Jones,DEN,DB,LAR,2.56,2.18,0.05,0.11,0.44,0.11,0.05,0.05,
Xavier Watts,ATL,DB,GB,3.05,2.21,,0.15,0.59,,0.05,0.05,
Xavier McKinney,GB,DB,ATL,2.83,2.66,0.05,0.11,0.54,0.05,0.05,0.05,
Derek Stingley,HOU,DB,IND,1.48,0.63,,0.21,0.84,0.05,,,
Tyrique Stevenson,CHI,CB,PHI,1.97,0.83,,0.1,0.62,0.05,0.1,0.05,
Julian Blackmon,NO,DB,LV,2.84,1.31,,0.11,0.28,0.06,0.06,0.06,
Cam Bynum,IND,DB,HOU,2.57,1.71,,0.15,0.45,0.1,,0.05,
Cooper DeJean,PHI,DB,CHI,3.77,1.69,,0.11,0.68,0.17,0.06,0.06,
Quinyon Mitchell,PHI,CB,CHI,1.91,0.9,,0.11,0.73,,0.06,0.06,
Dillon Thieneman,CHI,DB,PHI,3.66,1.46,0.05,0.1,0.24,0.15,0.05,0.05,
Byron Murphy,MIN,CB,TB,2.55,1.05,,0.17,0.56,0.17,0.06,,
Billy Bowman,ATL,DB,GB,1.78,1.2,0.13,0.1,0.37,0.1,0.05,,
Jermod McCoy,LV,DB,NO,1.13,0.65,,0.11,0.43,0.05,0.05,0.05,
Dane Belton,NYJ,DB,DET,2.16,2.0,0.05,0.05,0.27,0.05,0.11,0.05,
Kamren Kinchens,LAR,DB,DEN,2.47,1.34,0.05,0.11,0.32,0.05,,0.05,
Keisean Nixon,GB,CB,ATL,3.21,1.14,,0.11,0.49,0.16,0.05,0.05,
Chamarri Conner,KC,DB,MIA,4.54,2.36,0.12,0.06,0.37,0.25,0.12,,
Nate Wiggins,BAL,CB,DAL,3.2,1.11,,0.18,0.8,0.06,,,
Ja'Quan McMillian,DEN,CB,LAR,2.1,0.82,0.1,0.1,0.46,0.26,0.05,,
Keith Abney,DET,DB,NYJ,0.42,0.3,,0.18,2.84,,,,
Kerby Joseph,DET,DB,NYJ,3.02,1.33,,0.18,0.54,0.06,,,
Montaric Brown,JAX,DB,NE,2.54,0.52,0.12,0.12,0.58,0.12,,,
Budda Baker,ARI,DB,SF,2.98,3.04,0.08,0.05,0.27,0.27,0.05,0.05,
Ji'Ayir Brown,SF,DB,ARI,2.67,1.86,,0.12,0.35,0.12,,0.06,
Riq Woolen,PHI,DB,CHI,1.86,0.73,,0.11,0.73,0.06,,0.06,
Reed Blankenship,HOU,DB,IND,3.02,1.68,,0.11,0.28,,,0.06,
Kam Curl,LAR,DB,DEN,2.56,2.28,0.06,0.06,0.28,0.11,0.06,0.06,
Alontae Taylor,TEN,DB,NYG,2.69,1.13,0.1,0.1,0.59,0.29,0.05,,
Jessie Bates,ATL,DB,GB,2.9,2.02,,0.15,0.34,0.1,0.05,,
Talanoa Hufanga,DEN,DB,LAR,3.22,1.91,0.05,0.11,0.49,0.22,0.05,,
Mike Sainristil,WAS,DB,SEA,2.31,1.32,,0.14,0.57,0.05,0.05,,
Jaycee Horn,CAR,CB,CLE,1.56,0.78,,0.17,0.56,0.11,,,
Carlton Davis,NE,CB,JAX,2.46,0.71,,0.11,0.6,0.11,,0.05,
Donte Jackson,LAC,CB,BUF,0.99,0.66,,0.17,0.61,0.11,,,
Zyon McCollum,TB,DB,MIN,2.7,0.97,,0.11,0.49,0.05,,0.05,
Xavier Woods,CHI,DB,PHI,1.86,1.09,,0.16,0.26,0.05,,,
Kyler Gordon,CHI,DB,PHI,1.92,0.98,0.05,0.05,0.21,0.1,0.05,0.05,
Mike Jackson,CAR,CB,CLE,2.89,0.84,,0.16,0.89,0.16,,,
Jalen Ramsey,PIT,CB,CIN,2.3,1.25,0.1,0.1,0.35,0.25,,,
Jalen Thompson,DAL,DB,BAL,3.42,2.15,,0.06,0.41,0.17,0.06,0.06,
Jourdan Lewis,JAX,CB,NE,1.21,1.1,0.06,0.06,0.52,0.12,,0.06,
Grant Delpit,CLE,DB,CAR,2.5,2.18,0.08,0.05,0.16,0.16,,0.05,
Nohl Williams,KC,CB,MIA,2.58,1.35,0.06,0.12,0.64,0.23,,,
Evan Williams,GB,DB,ATL,2.77,2.71,,0.12,0.29,0.17,0.06,,
C.J. Gardner-Johnson,BUF,DB,LAC,2.79,1.3,0.09,0.06,0.37,0.19,0.06,,
Quincy Riley,NO,CB,LV,1.53,0.4,,0.06,0.62,,0.06,0.06,
Isaiah Rodgers,MIN,CB,TB,2.22,0.67,,0.06,0.28,0.11,0.06,0.06,
Trent McDuffie,LAR,DB,DEN,2.39,0.74,0.11,0.06,0.51,0.11,0.06,,
Jalen Pitre,HOU,DB,IND,2.35,2.13,,0.11,0.45,0.17,0.06,,
Joshua Metellus,MIN,DB,TB,2.66,2.44,0.06,0.11,0.33,0.06,,,
Antonio Johnson,JAX,DB,NE,3.1,1.2,0.05,0.11,0.33,0.11,,,
Treydan Stukes,LV,DB,NO,3.23,1.34,,0.05,0.22,,0.05,0.05,
Dadrion Taylor-Demerson,ARI,DB,SF,1.39,1.17,,0.05,0.27,,0.05,0.05,
Jamel Dean,PIT,CB,CIN,2.07,0.64,,0.11,0.42,0.05,0.05,,
Denzel Ward,CLE,CB,CAR,1.55,0.37,,0.11,0.59,0.11,0.05,,
Tyson Campbell,CLE,CB,CAR,2.66,1.12,,0.11,0.69,0.11,0.05,,
Jeremy Chinn,LV,DB,NO,3.17,2.64,0.05,,0.22,0.16,0.11,0.05,
Jaylon Johnson,CHI,DB,PHI,1.4,0.36,,0.1,0.41,0.05,0.05,,
Jahdae Barron,DEN,DB,LAR,1.69,0.77,,0.05,0.31,0.05,0.05,0.05,
Amani Hooker,TEN,DB,NYG,2.71,1.35,,0.05,0.42,0.16,0.05,0.05,
Deommodore Lenoir,SF,DB,ARI,2.47,1.42,,0.12,0.49,0.19,,,
Rayshawn Jenkins,PIT,DB,CIN,1.8,1.0,0.05,0.05,0.2,0.05,,0.05,
L'Jarius Sneed,KC,CB,MIA,2.18,1.24,,0.12,0.75,,,,
Jaylinn Hawkins,BAL,SS,DAL,1.84,1.47,,0.06,0.18,0.12,,0.06,
Upton Stout,SF,CB,ARI,2.28,1.97,0.06,0.06,0.37,0.19,0.06,,
Maxwell Hairston,BUF,DB,LAC,1.55,0.81,,0.12,0.68,0.06,,,
Malik Mustapha,SF,DB,ARI,4.13,1.73,,0.12,0.31,0.25,,,
Chris Johnson,MIA,DB,KC,1.67,1.43,,0.1,0.43,0.05,0.05,,
Roger McCreary,DET,DB,NYJ,1.93,0.54,0.12,0.06,0.18,0.12,,,
Brian Branch,DET,DB,NYJ,1.87,1.09,0.06,0.06,0.36,0.18,0.06,,
Andrew Mukuba,PHI,DB,CHI,2.08,1.63,0.06,0.06,0.28,0.17,0.06,,
DaRon Bland,DAL,DB,BAL,2.44,1.51,,0.12,0.58,0.12,,,
Nick Emmanwori,SEA,DB,WAS,3.08,1.94,0.11,0.06,0.68,0.51,,,
Devon Witherspoon,SEA,DB,WAS,2.79,1.42,0.06,0.06,0.46,0.17,0.06,,
Terrion Arnold,SEA,DB,WAS,0.28,0.51,,0.06,0.57,,,0.06,
Martin Emerson,NO,DB,LV,0.85,0.62,,0.06,0.28,0.06,,,
Eric Murray,JAX,DB,NE,2.02,1.44,0.06,0.06,0.4,0.12,0.06,,
Mansoor Delane,KC,DB,MIA,2.34,0.76,,0.12,0.59,0.06,,,
James Pierre,MIN,CB,TB,1.44,0.67,,0.06,0.33,0.06,,0.06,
Christian Gonzalez,NE,DB,JAX,2.52,0.49,,0.11,0.66,0.05,,,
Nick Scott,CAR,DB,CLE,3.51,1.84,,0.06,0.22,,,0.06,
Pat Surtain,DEN,CB,LAR,2.07,0.65,,0.11,0.65,0.05,,,
Cam Hart,LAC,CB,BUF,1.87,0.5,,0.11,0.5,,,,
Malik Muhammad,CHI,CB,PHI,1.09,0.52,,0.1,0.16,,,,
Jaquan Brisker,PIT,DB,CIN,2.97,2.28,0.05,0.05,0.32,0.11,0.05,,
Tre'von Moehrig,CAR,DB,CLE,3.52,2.1,0.1,0.05,0.31,0.42,,,
Ronnie Hickman,CLE,DB,CAR,2.34,2.5,,0.11,0.32,0.05,,,
Lathan Ransom,CAR,DB,CLE,1.68,1.42,0.05,0.05,0.16,0.16,0.05,,
Jason Marshall,MIA,CB,KC,1.17,0.76,,0.1,0.36,0.1,,,
Denzel Burke,ARI,CB,SF,1.76,0.75,,0.1,0.5,0.1,,,
Chidobe Awuzie,BAL,CB,DAL,1.66,0.55,,0.06,0.25,,0.06,,
D.J. Reed,DET,CB,NYJ,3.14,1.39,,0.06,0.54,0.12,0.06,,
Christian Izien,DET,DB,NYJ,1.69,0.97,,0.06,0.18,0.12,0.06,,
Tarheeb Still,LAC,DB,BUF,1.93,0.88,0.06,0.06,0.33,0.11,,,
Kyle Dugger,CIN,DB,PIT,1.86,1.3,0.06,0.06,0.11,0.11,,,
Jaylen Watson,LAR,DB,DEN,1.82,0.51,0.06,0.06,0.4,0.11,,,
Josh Jobe,SEA,DB,WAS,2.39,0.91,0.06,0.06,0.74,,,,
Theo Jackson,MIN,DB,TB,1.33,1.33,0.06,,0.11,0.11,,0.06,
Quentin Lake,LAR,DB,DEN,2.45,0.74,0.06,0.06,0.4,0.06,,,
Taron Johnson,LV,CB,NO,1.61,1.13,,0.05,0.22,0.05,0.05,,
Justin Walley,IND,CB,HOU,1.02,0.7,,0.05,0.37,,0.05,,
Garrett Williams,ARI,DB,SF,1.39,1.12,,0.05,0.21,0.05,0.05,,
Minkah Fitzpatrick,NYJ,DB,DET,3.24,1.46,,0.05,0.22,0.11,0.05,,
Kevin Winston,TEN,DB,NYG,2.81,1.72,0.1,,0.21,0.26,0.05,,
Jordan Battle,CIN,DB,PIT,2.77,2.39,,0.05,0.27,0.11,0.05,,
Tyler Nubin,NYG,DB,TEN,2.89,1.91,,,,0.27,0.05,0.05,
Ty Okada,SEA,DB,WAS,2.74,1.39,0.05,,0.32,0.11,,0.05,
Benjamin Morrison,TB,DB,MIN,0.81,0.38,,0.05,0.27,0.05,0.05,,
Cor'Dale Flott,TEN,DB,NYG,1.35,0.57,,0.05,0.42,0.1,0.05,,
Cam Lewis,CHI,CB,PHI,1.07,1.41,,0.05,0.2,0.05,0.05,,
Jacob Parrish,TB,DB,MIN,2.34,1.07,0.05,0.05,0.41,0.25,,,
Isaiah Pola-Mao,LV,DB,NO,2.83,1.72,0.05,0.05,0.2,0.1,,,
Dante Trader,MIA,DB,KC,2.24,1.93,,0.05,0.2,,0.05,,
Quan Martin,WAS,DB,SEA,2.6,1.9,,0.05,0.15,0.1,0.05,,
AJ Haulcy,IND,DB,HOU,2.75,1.83,,0.07,0.33,0.07,,,
Kristian Fulton,KC,CB,MIA,1.24,0.68,,0.06,0.25,0.06,,,
Khalil Dorsey,DET,CB,NYJ,0.42,0.3,,0.06,0.06,,,,
Jalen Huskey,JAX,DB,NE,1.44,0.98,,0.06,0.17,0.06,,,
Rock Ya-Sin,DET,CB,NYJ,0.42,0.3,,0.06,0.06,,,,
Renardo Green,SF,DB,ARI,1.91,1.11,,0.06,0.37,,,,
Carrington Valentine,GB,DB,ATL,1.04,0.69,,0.06,0.29,,,,
Kelee Ringo,PHI,DB,CHI,0.28,0.22,,0.06,0.06,,,,
Jonathan Jones,PHI,DB,CHI,0.28,0.22,,0.06,1.07,,,,
Mac McWilliams,PHI,CB,CHI,0.28,0.22,,0.06,0.06,,,,
Akayleb Evans,CAR,DB,CLE,0.28,0.45,,0.06,0.06,,,,
Andre Cisco,NYJ,DB,DET,1.78,1.08,,0.05,0.16,0.05,,,
Daylen Everette,PIT,CB,CIN,0.21,0.21,,0.05,0.05,,,,
Julian Neal,SEA,DB,WAS,0.23,0.23,,0.06,0.06,,,,
Greg Newsome,NYG,CB,TEN,1.64,0.71,,0.05,0.44,0.05,,,
Justin Reid,NO,DB,LV,2.38,2.16,,0.06,0.4,0.23,,,
Toriano Pride,CLE,CB,CAR,0.21,0.21,,0.05,0.43,,,,
D'Angelo Ponds,NYJ,DB,DET,1.3,0.7,,0.05,0.27,,,,
Max Melton,ARI,DB,SF,0.53,0.69,,0.05,0.05,,,,
Deane Leonard,LAC,DB,BUF,0.33,0.28,,0.06,0.06,,,,
Asante Samuel,PIT,CB,CIN,0.21,0.21,,0.05,1.06,,,,
Karon Prunty,NE,DB,JAX,0.16,0.16,,0.05,0.05,,,,
Chau Smith-Wade,CAR,DB,CLE,2.23,0.61,,0.06,0.11,0.06,,,
Decamerion Richardson,NO,CB,LV,1.13,0.51,,0.06,0.11,,,,
Emmanuel Forbes,LAR,CB,DEN,0.28,0.28,,0.06,0.06,,,,
Charles Demmings,MIN,CB,TB,0.39,0.56,,0.06,0.44,,,,
Hezekiah Masses,LV,CB,NO,0.43,0.27,,0.05,0.05,,,,
Tacario Davis,CIN,CB,PIT,0.23,0.34,,0.06,0.85,,,,
Jaylin Smith,HOU,CB,IND,0.22,0.22,,0.06,0.06,,,,
DJ Ivey,CIN,CB,PIT,0.23,0.34,,0.06,0.06,,,,
Cam Taylor-Britt,IND,DB,HOU,1.02,0.75,,0.05,0.05,0.05,,,
Bryan Cook,CIN,DB,PIT,2.87,1.86,,0.05,0.27,0.05,,,
Sauce Gardner,IND,DB,HOU,2.14,0.86,,0.05,0.64,0.05,,,
